City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Cabo San Lucas,MX,2022-06-12 22:41:37,22.8909,-109.9124,89.91,35,20,17.27
220,Grand Gaube,MU,2022-06-12 22:41:38,-20.0064,57.6608,72.0,82,81,7.0
221,Sobolevo,RU,2022-06-12 22:41:38,54.4299,31.8996,56.7,93,6,6.89
222,Atherton,GB,2022-06-12 22:39:40,53.5237,-2.4935,57.22,80,46,4.0
223,Namatanai,PG,2022-06-12 22:41:39,-3.6667,152.4333,83.34,67,43,9.48
224,Yellowknife,CA,2022-06-12 22:41:05,62.456,-114.3525,66.72,52,75,11.5
225,Mount Gambier,AU,2022-06-12 22:41:40,-37.8333,140.7667,52.27,76,96,1.3
226,Boa Vista,BR,2022-06-12 22:41:40,2.8197,-60.6733,80.58,74,40,3.44
227,Lagoa,PT,2022-06-12 22:38:26,39.05,-27.9833,61.79,79,17,24.63
228,San Quintin,MX,2022-06-12 22:41:41,30.4833,-115.95,72.32,68,1,15.57
229,Abbeville,FR,2022-06-12 22:39:00,50.1,1.8333,58.96,95,31,8.01
230,New Norfolk,AU,2022-06-12 22:41:41,-42.7826,147.0587,44.71,86,61,1.01
231,Aquiraz,BR,2022-06-12 22:41:42,-3.9014,-38.3911,81.18,80,97,6.98
232,Otjimbingwe,NA,2022-06-12 22:42:43,-22.35,16.1333,60.8,43,0,5.64
233,Londoko,RU,2022-06-12 22:42:43,49.0333,131.9833,63.93,80,100,4.47
234,San Cristobal,VE,2022-06-12 22:42:43,7.7669,-72.225,73.58,95,100,4.25
235,Flin Flon,CA,2022-06-12 22:42:44,54.7682,-101.865,73.24,46,40,6.91
236,Namibe,AO,2022-06-12 22:42:44,-15.1961,12.1522,67.78,64,0,7.18
237,Thompson,CA,2022-06-12 22:42:45,55.7435,-97.8558,75.36,31,75,6.91
238,Hasaki,JP,2022-06-12 22:42:45,35.7333,140.8333,66.29,61,100,5.57
239,Sitka,US,2022-06-12 22:42:46,57.0531,-135.33,51.69,76,100,6.91
240,Kodiak,US,2022-06-12 22:42:46,57.79,-152.4072,62.11,59,0,5.75
241,Pisco,PE,2022-06-12 22:42:46,-13.7,-76.2167,62.65,82,75,8.05
242,Petrolina,BR,2022-06-12 22:42:47,-9.3986,-40.5008,84.25,54,0,5.75
243,Tessalit,ML,2022-06-12 22:42:47,20.1986,1.0114,85.41,28,86,9.64
244,Lavrentiya,RU,2022-06-12 22:42:48,65.5833,-171.0,40.55,61,99,3.09
245,Puerto Escondido,MX,2022-06-12 22:42:48,15.85,-97.0667,83.14,70,99,4.43
246,Birjand,IR,2022-06-12 22:42:49,32.8663,59.2211,70.27,32,0,13.8
