City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Elizabeth City,US,36.2946,-76.2511,74.01,74,3,6.46,clear sky
214,Tottori,JP,35.5,134.2333,74.03,78,100,3.85,overcast clouds
215,Hami,CN,42.8,93.45,98.56,12,0,2.75,clear sky
216,Praia,CV,14.9215,-23.5087,72.93,86,81,11.39,broken clouds
217,Maxixe,MZ,-23.8597,35.3472,68.32,66,86,13.87,overcast clouds
218,Kodiak,US,57.79,-152.4072,50.94,81,12,3.8,few clouds
219,Hirado,JP,33.3597,129.5531,72.97,86,25,12.82,scattered clouds
220,Evensk,RU,61.95,159.2333,49.91,63,93,11.86,overcast clouds
221,Thunder Bay,CA,48.4001,-89.3168,54.28,100,100,3.44,mist
222,Pafos,CY,34.7667,32.4167,69.58,68,20,4.61,few clouds
223,Susanville,US,40.4163,-120.653,73.24,23,0,4.61,clear sky
224,Kununurra,AU,-15.7667,128.7333,84.18,14,91,11.5,overcast clouds
225,Rocha,UY,-34.4833,-54.3333,50.22,92,100,4.83,overcast clouds
226,Hobyo,SO,5.3505,48.5268,79.07,84,87,21.05,overcast clouds
227,Labuhan,ID,-6.8844,112.2051,86.07,69,66,10.92,broken clouds
228,Faanui,PF,-16.4833,-151.75,80.76,71,9,17.02,clear sky
229,Mahendranagar,NP,28.9167,80.3333,101.5,24,14,7.05,few clouds
230,Husavik,IS,66.0449,-17.3389,47.3,91,95,2.71,overcast clouds
231,Ambilobe,MG,-13.2,49.05,69.42,84,0,3.06,clear sky
232,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.6,93,20,5.75,few clouds
233,Yuli,NG,9.6989,10.2744,73.53,84,100,2.53,overcast clouds
234,Zhuhai,CN,22.2769,113.5678,86.86,84,40,10.36,scattered clouds
235,Kismayo,SO,-0.3582,42.5454,78.26,82,70,14.54,light rain
236,Saint Anthony,US,45.0205,-93.218,68.83,73,0,6.91,clear sky
237,Tonota,BW,-21.4833,27.4833,43.52,39,0,6.4,clear sky
238,Kapit,MY,2.0167,112.9333,89.19,63,65,1.43,broken clouds
239,Verdun,FR,49.25,5.3333,62.42,85,62,2.82,broken clouds
240,Luena,AO,-11.7833,19.9167,50.05,56,32,2.98,scattered clouds
241,Broome,US,42.2506,-75.833,74.68,62,20,8.05,few clouds
242,Sinnamary,GF,5.3833,-52.95,75.94,86,79,5.06,broken clouds
243,Cayenne,GF,4.9333,-52.3333,79.09,1,0,2.3,clear sky
244,Inta,RU,66.0317,60.1659,56.98,57,2,6.46,clear sky
245,Benguela,AO,-12.5763,13.4055,65.77,58,0,3.49,clear sky
246,Yatou,CN,37.15,122.3833,75.6,61,85,12.21,overcast clouds
247,Semporna,MY,4.4818,118.6112,84.69,66,99,6.53,heavy intensity rain
248,Kushmurun,KZ,52.4503,64.6311,73.83,45,73,8.01,broken clouds
249,Fortuna,US,40.5982,-124.1573,56.98,84,0,4.61,clear sky
250,Mnogovershinnyy,RU,53.9353,139.9242,43.56,95,100,2.46,overcast clouds
251,Severo-Kurilsk,RU,50.6789,156.125,49.77,82,99,7.54,overcast clouds
252,Ugoofaaru,MV,5.6667,73.0,83.05,74,62,10.16,heavy intensity rain
253,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,74,16.71,light rain
254,Lagoa,PT,39.05,-27.9833,63.3,92,15,8.84,few clouds
255,Ribeira Grande,PT,38.5167,-28.7,64.99,91,23,3.24,few clouds
256,Stege,DK,54.987,12.2846,53.1,85,100,9.51,overcast clouds
257,Port Moresby,PG,-9.4431,147.1797,84.07,71,34,8.63,scattered clouds
258,Victoria,HK,22.2855,114.1577,87.96,83,100,15.99,overcast clouds
259,Saint-Augustin,CA,51.226,-58.6502,49.91,80,11,5.66,few clouds
260,Elk City,US,35.412,-99.4043,82.62,51,0,8.05,clear sky
261,Naryan-Mar,RU,67.6713,53.087,54.21,54,99,11.3,overcast clouds
262,Lingao,CN,19.9103,109.6859,89.24,64,73,1.63,broken clouds
263,Nanortalik,GL,60.1432,-45.2371,36.84,88,3,7.58,clear sky
264,Palanga,LT,55.9175,21.0686,57.22,82,20,6.91,few clouds
265,Okato,NZ,-39.2,173.8833,58.91,94,78,5.99,light rain
266,Luanda,AO,-8.8368,13.2343,66.24,87,35,7.09,scattered clouds
267,Panguna,PG,-6.3164,155.4848,77.0,76,84,3.58,light rain
268,Kysyl-Syr,RU,63.8986,122.7617,69.55,44,51,8.1,broken clouds
269,Iquique,CL,-20.2208,-70.1431,60.84,83,67,4.0,broken clouds
270,Padang,ID,-0.9492,100.3543,84.25,63,73,4.97,broken clouds
271,Steamboat Springs,US,40.485,-106.8317,58.5,46,0,5.75,clear sky
272,Medea,DZ,36.2642,2.7539,75.47,26,97,4.21,overcast clouds
273,New Norfolk,AU,-42.7826,147.0587,53.1,68,48,1.25,scattered clouds
274,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,73.33,59,25,1.66,scattered clouds
275,Korla,CN,41.7597,86.1469,93.04,15,59,15.35,broken clouds
276,Garowe,SO,8.4054,48.4845,77.83,56,67,23.53,broken clouds
277,Tazovskiy,RU,67.4667,78.7,59.79,69,99,15.37,overcast clouds
278,Auchel,FR,50.5034,2.4735,57.88,94,43,3.8,scattered clouds
279,Mar Del Plata,AR,-38.0023,-57.5575,46.94,93,86,5.01,overcast clouds
280,Puerto Madryn,AR,-42.7692,-65.0385,46.45,80,45,14.05,scattered clouds
281,Aden,YE,12.7794,45.0367,87.46,73,100,11.86,overcast clouds
282,Hualmay,PE,-11.0964,-77.6139,60.6,82,13,13.51,few clouds
283,Santa Maria,BR,-29.6842,-53.8069,53.56,92,61,4.47,broken clouds
284,Suarez,CO,2.954,-76.6964,65.3,98,85,1.88,overcast clouds
285,Hellvik,NO,59.9156,5.781,54.77,91,46,1.01,scattered clouds
286,Kandrian,PG,-6.2167,149.55,84.49,71,100,7.52,light rain
287,Iquitos,PE,-3.7481,-73.2472,69.51,88,21,1.14,few clouds
288,Puri,IN,19.8,85.85,90.12,76,100,20.31,overcast clouds
289,Beloha,MG,-25.1667,45.05,65.32,81,67,7.16,broken clouds
290,Nuuk,GL,64.1835,-51.7216,34.88,93,72,10.36,broken clouds
291,Llangefni,GB,53.2556,-4.3106,56.66,84,77,5.75,broken clouds
292,Vigrestad,NO,58.5667,5.7,52.59,87,4,7.34,clear sky
293,Srednekolymsk,RU,67.45,153.6833,70.12,20,17,11.72,few clouds
294,Baiyin,CN,36.5583,104.2081,81.75,18,1,4.76,clear sky
295,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,86,72,7.76,broken clouds
296,Vallenar,CL,-28.5708,-70.7581,47.73,91,35,1.77,scattered clouds
297,Margate,GB,51.3813,1.3862,57.69,86,26,1.43,scattered clouds
298,Japura,ID,-0.3167,102.35,87.24,64,96,3.06,overcast clouds
299,Moose Factory,CA,51.2585,-80.6094,71.58,78,100,12.66,overcast clouds
300,Vilyuysk,RU,63.7553,121.6247,69.66,47,62,7.67,broken clouds
301,Burns Lake,CA,54.2331,-125.7533,62.02,58,100,10.0,overcast clouds
302,Yarada,IN,17.65,83.2667,86.32,84,40,4.61,mist
303,Peace River,CA,56.2501,-117.286,59.92,69,67,2.93,broken clouds
304,Kidal,ML,18.4411,1.4078,81.97,48,99,19.33,overcast clouds
305,Lasa,IT,46.6166,10.7002,57.69,74,13,4.47,few clouds
306,Tuktoyaktuk,CA,69.4541,-133.0374,40.12,67,20,12.59,few clouds
307,Hailun,CN,47.45,126.9333,75.67,56,69,9.51,broken clouds
308,Pevek,RU,69.7008,170.3133,35.31,80,16,7.7,few clouds
309,Vardo,NO,70.3705,31.1107,40.98,93,100,18.41,light rain
310,Geraldton,AU,-28.7667,114.6,72.01,73,62,9.22,broken clouds
311,Brae,GB,60.3964,-1.353,52.57,97,100,9.55,overcast clouds
312,Egvekinot,RU,66.3167,-179.1667,32.14,99,100,4.07,snow
313,Harper,LR,4.375,-7.7169,74.88,94,100,11.79,heavy intensity rain
314,Isangel,VU,-19.55,169.2667,79.14,79,7,15.57,clear sky
315,Mbini,GQ,1.574,9.6134,75.65,88,100,8.23,overcast clouds
316,Ikom,NG,5.9667,8.7063,72.57,99,71,1.92,light rain
317,Volchansk,RU,59.9378,60.081,69.3,47,13,2.1,few clouds
318,Qingquan,CN,30.4511,115.2559,89.83,55,82,7.02,broken clouds
319,Kinkala,CG,-4.3614,14.7644,66.63,82,11,4.61,few clouds
320,Belaya Gora,RU,68.5333,146.4167,74.35,24,48,9.91,scattered clouds
321,Estevan,CA,49.1334,-102.9842,53.8,87,100,12.66,overcast clouds
322,La Ronge,CA,55.1001,-105.2842,51.42,98,100,7.25,overcast clouds
323,Panacan,PH,9.2463,118.4082,86.67,64,90,4.94,overcast clouds
324,Tabuk,PH,17.4189,121.4443,86.81,68,100,4.5,overcast clouds
325,Burgeo,CA,47.6167,-57.6152,52.52,78,28,4.21,scattered clouds
326,Carazinho,BR,-28.2839,-52.7864,52.43,86,3,6.71,clear sky
327,Dakar,SN,14.6937,-17.4441,76.08,86,89,17.05,overcast clouds
328,Mega,ET,4.05,38.3,56.03,89,91,13.65,overcast clouds
329,Xinqing,CN,48.2333,129.5,76.42,45,82,7.83,broken clouds
330,Tasiilaq,GL,65.6145,-37.6368,41.16,97,100,7.87,overcast clouds
331,Narsaq,GL,60.9167,-46.05,44.82,66,2,1.63,clear sky
332,Opuwo,NA,-18.0607,13.84,54.18,42,3,7.02,clear sky
333,Bengkulu,ID,-3.8004,102.2655,83.44,66,90,3.83,overcast clouds
334,Koryukivka,UA,51.7688,32.2481,55.11,85,7,5.46,clear sky
335,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,19.57,scattered clouds
336,Dovolnoye,RU,54.4958,79.6671,62.17,79,72,9.8,light rain
337,Bajram Curri,AL,42.3554,20.0784,58.41,75,0,3.6,clear sky
338,Cavalcante,BR,-13.7975,-47.4583,66.02,71,2,4.85,clear sky
339,Cidreira,BR,-30.1811,-50.2056,57.42,86,3,4.79,clear sky
340,Hun,LY,29.1268,15.9477,70.84,58,0,3.8,clear sky
341,Flinders,AU,-34.5833,150.8552,66.06,58,79,12.17,broken clouds
342,Moyo,UG,3.6609,31.7247,64.98,87,59,2.13,broken clouds
343,Tawang,IN,27.5833,91.8667,56.19,97,98,3.06,overcast clouds
344,Chacabuco,AR,-34.6417,-60.4739,50.63,73,16,5.61,few clouds
345,Onega,RU,63.9061,38.1404,54.27,87,54,8.48,broken clouds
346,Kurumkan,RU,54.3,110.3,80.13,34,7,4.18,clear sky
347,Dubbo,AU,-32.25,148.6167,60.93,59,89,10.36,overcast clouds
348,Assis,BR,-22.6617,-50.4122,56.61,77,0,6.08,clear sky
349,Kohtla-Jarve,EE,59.3986,27.2731,53.53,78,14,14.74,few clouds
350,Bonavista,CA,48.6499,-53.1147,43.93,78,5,2.62,clear sky
351,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.68,89,53,10.02,light rain
352,Boa Vista,BR,2.8197,-60.6733,76.98,88,40,2.3,scattered clouds
353,Kapuskasing,CA,49.4169,-82.4331,66.54,98,46,8.08,scattered clouds
354,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
355,Chokurdakh,RU,70.6333,147.9167,69.08,23,91,7.25,overcast clouds
356,Le Port,RE,-20.9373,55.2919,74.25,65,30,11.79,scattered clouds
357,Todos Santos,MX,23.45,-110.2167,83.05,72,17,6.78,few clouds
358,Port-Gentil,GA,-0.7193,8.7815,75.16,81,16,12.1,few clouds
359,San Carlos De Bariloche,AR,-41.1456,-71.3082,31.24,69,49,7.07,scattered clouds
360,Sept-Iles,CA,50.2001,-66.3821,62.06,73,42,3.76,scattered clouds
361,Ous,RU,60.9058,61.5186,69.94,44,27,5.5,scattered clouds
